Metric,Assay,Description,Scale,Calculation
LED Y-Maze light switchiness,LED Y-Maze,Score of the regularity or irregularity of alternating between dark and light turns,0 to inf,num_switches / [ 2 * fraction_right * fraction_left * num_turns ]
LED Y-Maze speed,LED Y-Maze,Average frame-to-frame speed over the duration of the experiment,0 to inf (mm/sec),mean[ frame_displacement / interframe_interval ]
LED Y-Maze nBouts,LED Y-Maze,Total number of movement bouts over the duration of the experiment,0 to inf,sum[ bouts ]
LED Y-Maze bout length,LED Y-Maze,Average length of movement bouts over the duration of the experiment,0 to inf (mm),mean[ bout_length ] 
LED Y-Maze bout clumpiness,LED Y-Maze,Score of the regularity or irregularity of timing between movement bouts,0 to inf,stddev[ interbout_interval ] * num_bouts / experiment_duration
Circadian circling (10),Circadian,"Index of clockwise versus counter-clockwise walking (CW = -1, CCW = 1)","-1 to 1 (CW = -1, CCW = 1)",-sin[ avg_circumferential_velocity ]
Circadian speed (10),Circadian,Average frame-to-frame speed over the duration of the experiment,0 to inf (mm/sec),mean[ frame_displacement / interframe_interval ]
Circadian nBouts (10),Circadian,Total number of movement bouts over the duration of the experiment,0 to inf,sum[ bouts ]
Circadian bout length (10),Circadian,Average length of movement bouts over the duration of the experiment,0 to inf (mm),mean[ bout_length ] 
Circadian bout clumpiness (10),Circadian,Score of the regularity or irregularity of timing between movement bouts,0 to inf,stddev[ interbout_interval ] * num_bouts / experiment_duration
Circadian gravitactic index (1),Circadian,Index scoring arena floor versus arena ceiling occupancy,"-1 to 1 (Floor = -1, Ceiling = 1)",2 * [ time_on_ceiling - time_on_floor ] / experiment_duration - 1
Culling circling,Culling,"Index of clockwise versus counter-clockwise walking (CW = -1, CCW = 1)","-1 to 1 (CW = -1, CCW = 1)",-sin[ avg_circumferential_velocity ]
Culling right bias,Culling,Fraction of turns toward the right arm of the arena,"0 to 1 (Left = 0, Right = 1)",num_right_turns / num_total_turns
Culling nTrials,Culling,Total number of turns through the arena center,0 to inf,sum[ turns ]
Culling hand clumpiness,Culling,Score of the regularity or irregularity of timing between turns through the arena center,0 to inf,stddev[ interturn_interval ] / mean[ interturn_interval]
Culling hand switchiness,Culling,Score of the regularity or irregularity of alternating between left and right turns,0 to inf,num_switches / [ 2 * fraction_right * fraction_left * num_turns ]
Culling speed,Culling,Average frame-to-frame speed over the duration of the experiment,0 to inf (mm/sec),mean[ frame_displacement / interframe_interval ]
Circadian gravitactic index (2),Circadian,Index scoring arena floor versus arena ceiling occupancy,"-1 to 1 (Floor = -1, Ceiling = 1)",2 * [ time_on_ceiling - time_on_floor ] / experiment_duration - 1
Circadian gravitactic index (3),Circadian,Index scoring arena floor versus arena ceiling occupancy,"-1 to 1 (Floor = -1, Ceiling = 1)",3 * [ time_on_ceiling - time_on_floor ] / experiment_duration - 1
Circadian gravitactic index (4),Circadian,Index scoring arena floor versus arena ceiling occupancy,"-1 to 1 (Floor = -1, Ceiling = 1)",4 * [ time_on_ceiling - time_on_floor ] / experiment_duration - 1
Circadian gravitactic index (5),Circadian,Index scoring arena floor versus arena ceiling occupancy,"-1 to 1 (Floor = -1, Ceiling = 1)",5 * [ time_on_ceiling - time_on_floor ] / experiment_duration - 1
Circadian gravitactic index (6),Circadian,Index scoring arena floor versus arena ceiling occupancy,"-1 to 1 (Floor = -1, Ceiling = 1)",6 * [ time_on_ceiling - time_on_floor ] / experiment_duration - 1
